DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,MAURITI,Caatinga,0,0.0,0.18,-7.26513,-38.79544,14.0
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,MAURITI,Caatinga,0,0.0,0.18,-7.26368,-38.78572,20.9
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,MISSÃO VELHA,Caatinga,0,0.1,0.33,-7.20832,-39.15415,13.3
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,MISSÃO VELHA,Caatinga,0,0.1,0.26,-7.20692,-39.14471,13.3
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,SALITRE,Caatinga,0,0.0,0.58,-7.16353,-40.42216,12.1
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,JUAZEIRO DO NORTE,Caatinga,0,0.73,0.21,-7.16202,-39.34151,10.3
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,MISSÃO VELHA,Caatinga,0,0.2,0.28,-7.1601,-39.13896,109.0
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,MISSÃO VELHA,Caatinga,0,0.2,0.28,-7.1587,-39.12941,38.4
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,MISSÃO VELHA,Caatinga,0,0.2,0.29,-7.14952,-39.13074,11.1
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,CAMPOS SALES,Caatinga,0,0.0,1.0,-7.08954,-40.35107,32.0
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,AURORA,Caatinga,0,0.2,0.29,-7.06159,-38.96337,12.0
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,NOVA OLINDA,Caatinga,2,0.0,0.6,-7.0583,-39.70078,9.5
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,FARIAS BRITO,Caatinga,0,0.0,0.43,-6.98457,-39.51371,43.1
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,LAVRAS DA MANGABEIRA,Caatinga,0,0.0,0.13,-6.80277,-39.03452,8.7
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,LAVRAS DA MANGABEIRA,Caatinga,0,0.0,0.13,-6.80131,-39.02483,46.0
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,LAVRAS DA MANGABEIRA,Caatinga,0,0.0,0.13,-6.79462,-39.0324,8.1
2023/12/23 16:45:00,AQUA_M-T,Brasil,CEARÁ,LAVRAS DA MANGABEIRA,Caatinga,0,0.0,0.58,-6.77538,-38.96585,33.9
